server_ts,client_ts,client_addr,visitor_id,session_id,location,referer,user_agent,type,visitor_params,session_params,event_params,br_width,br_height,sc_width,sc_height,br_lang,tz_off
2014-03-01T03:39:23.099,2014-03-01T03:39:24.222,50.204.38.160,45467421ac4f218,463fe4c146ea482,http://dataiku.com/blog/2014/01/14/winning-kaggle.html,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1920,986,1920,1080,en-US,300
2014-03-01T03:48:03.255,2014-03-01T03:48:02.658,27.32.161.160,5fcc5e41efb0fbd,bc65d2c1a81974f,http://www.dataiku.com/applications/,http://www.dataiku.com/products/shaker/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1680,963,1680,1050,en-GB,-660
2014-03-01T06:25:34.566,2014-03-01T06:25:34.524,66.250.143.150,1cad2751ed7eeaf,f6bc5851e373824,http://www.dataiku.com/,http://strataconf.com/strata2014/public/schedule/detail/33474,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1183,658,1280,800,en-US,300
2014-03-01T06:39:04.869,2014-03-01T06:39:06.764,207.126.92.0,aa7f46a1b81a297,958c8c612c038ba,http://dataiku.com/blog/2012/12/07/visualizing-your-linkedin-graph-using-gephi-part-1.html,,Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,664,1366,768,en-US,-480
2014-03-01T06:41:15.033,2014-03-01T06:41:06.496,70.72.174.130,488afab1d36e232,b2e7a6c1157aad1,http://www.dataiku.com/blog/2014/01/14/winning-kaggle.html,http://www.kaggle.com/c/yandex-personalized-web-search-challenge/forums/t/6811/share-your-approach,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1920,995,1920,1080,en-US,420
2014-03-01T07:28:23.787,2014-03-01T07:28:27.896,82.124.52.120,3864d95168bb57b,4065ba017b99d1f,http://www.dataiku.com/company/careers/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,825,728,1680,1050,fr,-60
2014-03-01T07:44:14.593,2014-03-01T07:44:14.333,106.188.108.180,dbe1c461cb8c8fc,315aa621e1dba8b,http://www.dataiku.com/blog/2014/01/14/winning-kaggle.html,http://b.hatena.ne.jp/search/text?q=kaggle,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,779,1440,900,ja,-540
2014-03-01T08:30:42.962,2014-03-01T08:30:42.908,85.170.217.110,3e8860b174f9381,72c80721166581e,http://www.dataiku.com/,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1276,683,1280,800,en-US,-60
2014-03-01T08:30:43.160,2014-03-01T08:30:43.107,85.170.217.110,3e8860b174f9381,72c80721166581e,http://www.dataiku.com/company/team/,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1276,683,1280,800,en-US,-60
2014-03-01T08:30:50.298,2014-03-01T08:30:50.241,85.170.217.110,3e8860b174f9381,72c80721166581e,http://www.dataiku.com/company/careers/,http://www.dataiku.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1276,683,1280,800,en-US,-60
2014-03-01T08:30:50.989,2014-03-01T08:30:50.936,85.170.217.110,3e8860b174f9381,72c80721166581e,http://www.dataiku.com/applications/freemium/,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1276,683,1280,800,en-US,-60
2014-02-28T23:08:24.485,2014-02-28T23:08:24.152,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/,http://www.dataiku.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:09:24.069,2014-02-28T23:09:23.742,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/shaker/,http://www.dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:09:30.949,2014-02-28T23:09:30.645,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/sharing/,http://www.dataiku.com/products/shaker/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:09:37.418,2014-02-28T23:09:37.110,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/mining/,http://www.dataiku.com/products/sharing/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:09:52.160,2014-02-28T23:09:51.861,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/manage/,http://www.dataiku.com/products/mining/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:10:05.256,2014-02-28T23:10:04.958,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/products/pricing/,http://www.dataiku.com/products/manage/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:10:54.284,2014-02-28T23:10:53.985,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/company/team/,http://www.dataiku.com/products/pricing/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:11:02.009,2014-02-28T23:11:01.710,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/blog/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:11:37.196,2014-02-28T23:11:36.873,71.231.205.40,b39d06e177819e1,dd4804c114166e6,http://www.dataiku.com/blog/2014/01/14/winning-kaggle.html,http://www.dataiku.com/blog/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:15:04.552,2014-02-28T23:15:04.249,71.231.205.40,b39d06e177819e1,40a4581157cd002,http://www.dataiku.com/company/team/,http://www.dataiku.com/blog/2014/01/14/winning-kaggle.html,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:15:06.052,2014-02-28T23:15:05.940,71.231.205.40,b39d06e177819e1,40a4581157cd002,http://www.dataiku.com/products/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:15:14.013,2014-02-28T23:15:13.708,71.231.205.40,b39d06e177819e1,40a4581157cd002,http://www.dataiku.com/products/manage/,http://www.dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
2014-02-28T23:15:21.719,2014-02-28T23:15:21.607,71.231.205.40,b39d06e177819e1,40a4581157cd002,http://www.dataiku.com/products/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36",page,null,null,,1440,730,1440,900,en-US,480
