Source,Target,Type,Weight
51,35,Undirected,1
53,35,Undirected,1
51,37,Undirected,1
52,35,Undirected,1
51,45,Undirected,1
54,35,Undirected,1
52,39,Undirected,1
54,40,Undirected,1
55,35,Undirected,1
50,49,Undirected,1
56,44,Undirected,1
57,37,Undirected,1
57,43,Undirected,1
54,39,Undirected,1
55,48,Undirected,1
55,47,Undirected,1
55,36,Undirected,1
56,37,Undirected,1
57,42,Undirected,1
57,44,Undirected,1
35,36,Undirected,1
35,37,Undirected,1
35,38,Undirected,1
35,39,Undirected,1
35,40,Undirected,2
35,41,Undirected,1
35,43,Undirected,1
35,44,Undirected,1
35,45,Undirected,1
35,46,Undirected,1
37,39,Undirected,1
37,40,Undirected,1
37,41,Undirected,1
37,42,Undirected,1
37,43,Undirected,1
37,44,Undirected,1
37,45,Undirected,1
38,46,Undirected,1
39,40,Undirected,1
39,41,Undirected,1
39,42,Undirected,1
39,43,Undirected,1
39,44,Undirected,1
40,41,Undirected,1
41,42,Undirected,1
41,43,Undirected,1
41,44,Undirected,1
42,43,Undirected,1
42,44,Undirected,1
43,44,Undirected,1
