Source,Target,Type,Id,Label,Weight
51,35,Undirected,203,,1
53,35,Undirected,200,,1
51,37,Undirected,204,,1
52,35,Undirected,201,,1
51,45,Undirected,205,,1
54,35,Undirected,197,,1
52,39,Undirected,202,,1
54,40,Undirected,199,,1
55,35,Undirected,194,,1
50,49,Undirected,206,,1
56,44,Undirected,192,,1
57,37,Undirected,190,,1
57,43,Undirected,188,,1
54,39,Undirected,198,,1
55,48,Undirected,196,,1
55,47,Undirected,195,,1
55,36,Undirected,193,,1
56,37,Undirected,191,,1
57,42,Undirected,189,,1
57,44,Undirected,187,,1
35,36,Undirected,156,,1
35,37,Undirected,157,,1
35,38,Undirected,158,,1
35,39,Undirected,159,,1
35,40,Undirected,160,,2
35,41,Undirected,162,,1
35,43,Undirected,163,,1
35,44,Undirected,164,,1
35,45,Undirected,165,,1
35,46,Undirected,166,,1
37,39,Undirected,167,,1
37,40,Undirected,168,,1
37,41,Undirected,169,,1
37,42,Undirected,170,,1
37,43,Undirected,171,,1
37,44,Undirected,172,,1
37,45,Undirected,173,,1
38,46,Undirected,174,,1
39,40,Undirected,175,,1
39,41,Undirected,176,,1
39,42,Undirected,177,,1
39,43,Undirected,178,,1
39,44,Undirected,179,,1
40,41,Undirected,180,,1
41,42,Undirected,181,,1
41,43,Undirected,182,,1
41,44,Undirected,183,,1
42,43,Undirected,184,,1
42,44,Undirected,185,,1
43,44,Undirected,186,,1
