DJ	RG	RDF	RD	Tm	HR	Vv	NHL	Abateria
1	1,9	1,3	1,8	11	82	2	9,5	9,72
2	2,1	1,2	2,4	11	82	2	9,5	9,547
3	1,9	1,3	1,7	11	82	2	9,5	8,875
4	2,2	1,2	2,6	11	82	2	9,5	9,794
5	2	1,3	1,8	11	82	2	9,5	9,777
6	2,2	1,2	2,6	10	81	2	9,5	8,038
7	2,3	1,2	2,9	10	81	2	9,5	9,393
8	2,3	1,2	2,8	10	80	2	9,5	7,354
9	2	1,3	1,8	10	80	2	9,5	8,708
10	2,3	1,3	2,7	9	79	2	9,5	9,458
11	2,1	1,3	2,2	9	79	2	9,5	9,951
12	2,3	1,2	2,8	9	80	2	9,5	8,561
13	2,5	1,2	3,6	9	79	2	9,5	8,473
14	2,5	1,2	3,2	9	78	2	9,5	10,337
15	2,6	1,2	3,8	9	77	2	9,5	7,238
16	2,4	1,3	2,9	9	78	2	9,5	10,58
17	2,5	1,3	3	9	78	2	10	11,137
18	2,3	1,3	2,4	9	79	2	10	7,766
19	2,4	1,3	2,7	9	79	2	10	10,221
20	2,5	1,3	2,8	9	79	2	10	7,527
21	2,5	1,3	2,9	9	79	2	10	10,384
22	2,4	1,4	2,3	10	79	2	10	9,675
23	2,2	1,4	1,9	10	79	2	10	8,055
24	2,5	1,4	2,6	10	78	2	10	9,402
25	2,8	1,3	3,8	10	78	2	10	9,52
26	2,4	1,4	2,3	10	78	2	10	10,196
27	2,6	1,4	2,6	10	78	2	10	9,621
28	2,8	1,4	3,8	11	76	2	10	8,534
29	2,8	1,4	3,5	10	76	2	10	8,594
30	3	1,3	4	10	75	2	10	10,146
31	2,9	1,4	3,8	11	75	2	10	8,95
32	2,9	1,4	3,4	11	75	2	10	11,077
33	3,2	1,3	4,8	10	74	2	10	10,761
34	2,9	1,5	3,4	10	75	2	10	10,183
35	3	1,5	3,6	10	76	2	10	8,558
36	2,9	1,5	3,1	10	77	2	10	9,169
37	3	1,5	3,4	11	77	2	10	9,459
38	2,6	1,6	2,3	11	78	2	10	10,822
39	3,1	1,5	3,6	11	78	2	10	9,932
40	3,2	1,5	3,9	11	78	2	10	9,367
41	3,3	1,5	4,2	11	76	2	10	9,589
42	3,6	1,3	5,5	11	74	2	10	9,31
43	3,3	1,6	3,9	11	74	2	10	10,834
44	3,5	1,5	4,6	11	73	2	10	10,235
45	3,2	1,7	3,2	11	72	2	10	8,356
46	3,4	1,6	3,8	11	71	2	10	11,157
47	3,8	1,4	5,3	11	70	2	10,5	9,99
48	3,7	1,5	4,8	11	69	2	10,5	8,036
49	3,6	1,6	4,3	11	68	2	10,5	9,331
50	3,5	1,7	3,8	11	67	2	10,5	10,989
51	3,8	1,6	4,7	11	68	2	10,5	10,443
52	3,8	1,6	4,6	11	69	2	10,5	9,475
53	3,8	1,7	4,4	11	70	2	10,5	9,049
54	3,8	1,7	4,2	11	71	2	10,5	10,477
55	3,7	1,8	4	11	72	2	10,5	10,725
56	3,8	1,8	4	11	73	2	10,5	10,127
57	3,6	1,9	3,3	12	75	2	10,5	9,841
58	3,6	1,9	3,2	12	76	2	10,5	9,903
59	3,5	2	2,9	12	77	2	10,5	7,309
60	3,7	1,9	3,4	12	77	2	10,5	9,478
61	3,9	1,8	4	12	78	2	11	9,992
62	3,6	2,1	2,8	12	77	2	11	10,293
63	4	1,9	3,9	13	77	2	11	12,926
64	3,8	2	3,3	13	77	2	11	10,684
65	4,1	1,9	3,9	14	76	2	11	10,975
66	4	2	3,6	14	75	2	11	11,391
67	4,3	1,9	4,4	14	74	2	11	9,993
68	4,2	2	4,1	14	73	2	11	10,625
69	4,4	1,9	4,5	14	72	2	11	12,633
70	4,2	2,1	3,8	14	72	2	11	8,565
71	4,3	2,1	3,9	14	73	2	11	12,162
72	4,5	2	4,4	14	73	2	11	9,489
73	4,4	2	4,1	14	74	2	11	10,463
74	4,6	2	4,4	14	73	2	11	11,32
75	4,6	2,1	4,3	14	72	2	11	10,763
76	4,7	2	4,5	14	71	2	11	11,628
77	4,9	1,9	5,2	15	71	2	11	11,267
78	4,7	2,1	4,4	15	71	2	11	11,181
79	5,1	1,9	5,5	15	70	2	11	10,743
80	5,1	1,9	6	15	70	2	11	11,21
81	5	2,1	5,3	15	70	2	11	9,656
82	5,3	1,9	6,2	15	69	2	11	11,455
83	5	2,2	4,9	15	69	2	11	9,995
84	5,1	2,1	5,2	16	68	2	11	10,552
85	5	2,2	5	16	67	2	11	9,912
86	4,8	2,4	4	16	67	2	11	10,854
87	4,9	2,3	4,4	16	68	2	12,5	11,206
88	4,8	2,4	4,1	15	68	2	12,5	11,176
89	5	2,3	4,5	15	67	2	12,5	9,901
90	5,2	2,3	5	15	68	2	12,5	11,857
91	5,1	2,4	4,5	15	67	2	12,5	12,3
92	5,4	2,2	5,4	15	66	2	12,5	9,853
93	5,6	2,1	5,8	15	65	2	12,5	11,297
94	5,5	2,2	5,4	15	64	2	12,5	10,917
95	5,3	2,4	4,7	15	63	2	12,5	10,333
96	5,3	2,4	4,8	15	63	2	12,5	11,803
97	5,1	2,5	4,2	15	63	2	12,5	9,921
98	5,6	2,3	5,5	15	63	2	12,5	9,713
99	5,5	2,4	4,9	15	64	2	12,5	10,56
100	5,3	2,6	4,3	15	65	2	12,5	11,852
101	5,4	2,5	4,6	15	64	2	12,5	12,29
102	5,6	2,5	4,9	15	64	2	13	11,42
103	5,7	2,4	5,4	15	64	2	13	11,605
104	5,6	2,5	5	16	64	2	13	11,143
105	5,4	2,6	4,2	16	65	2	13	13,378
106	5,5	2,6	4,4	16	64	2	13	12,362
107	6	2,4	5,8	16	64	2	13	9,024
108	6,1	2,3	5,9	16	64	2	13	11,239
109	6	2,4	5,5	16	63	2	13,5	11,753
110	6	2,4	5,6	17	62	2	13,5	13,001
111	6,3	2,3	6,3	17	61	2	13,5	11,836
112	5,6	2,6	4,5	17	60	2	13,5	10,531
113	6,3	2,3	6,2	18	60	2	13,5	12,711
114	6,4	2,3	6,2	18	60	2	13,5	11,436
115	6,7	2,1	7,2	18	59	2	13,5	12,5
116	6,2	2,5	5,7	18	58	2	13,5	12,922
117	6,2	2,5	5,7	18	58	2	13,5	13,049
118	6,1	2,6	5,4	18	58	2	13,5	8,987
119	6,4	2,4	6,1	18	58	2	13,5	15,314
120	6,6	2,4	6,4	17	57	2	13,5	12,61
121	5,7	2,8	4,2	17	59	2	13,5	11,592
122	6,2	2,7	5,2	17	60	2	13,5	13,28
123	6,1	2,7	5	16	61	2	13,5	13,428
124	6,5	2,5	6	16	62	2	13,5	11,906
125	5,7	3	4	16	63	2	13,5	10,401
126	5,8	3	4,1	16	62	2	13,5	11,908
127	5,7	3	3,9	16	62	2	13,5	11,129
128	6,2	2,8	4,8	17	62	2	13,5	12,781
129	6,1	2,9	4,8	17	61	2	13,5	12,463
130	6	2,9	4,4	18	61	2	13,5	12,216
131	6,3	2,8	5	18	60	2	13,5	12,533
132	6,6	2,6	5,9	19	60	2	13,5	11,368
133	6,5	2,7	5,5	19	58	2	13,5	10,782
134	6,5	2,7	5,8	20	56	2	13,5	13,303
135	7	2,4	7,1	21	54	2	13,5	12,029
136	6,9	2,5	6,9	21	53	2	13,5	12,671
137	6,7	2,6	6,4	21	53	2	13,5	14,208
138	6,9	2,5	6,9	22	53	2	13,5	13,186
139	6,6	2,7	6	22	52	2	14	12,412
140	6,9	2,6	6,8	22	50	2	14	12,465
141	7,2	2,3	7,7	22	49	2	14	11,862
142	7,2	2,4	7,6	22	47	2	14	11,631
143	7,3	2,3	7,9	22	45	2	14	13,546
144	7,2	2,3	7,6	23	44	2	14	13,854
